Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78
2010-01-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-01-05,99.74523125163314,102.3170731707317,103.44858554108667,106.11111111111111,99.2459943449576,105.53939219357626,100.31923830859704,102.0864832174176,100.46188309738807,99.31013797240551,100.22656471254601,100.76696622249767,102.88927671126625,100.30487804878048,98.49471114727422,101.58411199303394,98.86855485985629,100.14983518130056,100.08049585446348,101.75280319628818,100.58997050147494,98.20767293734262,101.33022490400438,102.41635687732342,99.84199385862922,103.0906623473274,96.6696269982238,100.88666152659987,100.1401903637571,103.30329484652209,102.24853356506625,100.08813678829544,100.37467216185836,100.26015632764498,107.15596330275228,99.67888175292785,100.9440450140669,100.98715509039012,98.1691725478163,100.38138825324181,99.89499474973749,101.7604023776863,100.33640937008117,110.93841642228739,102.12691281763304,100.9916391211355,100.17825549066819,101.83814414733487,97.7053723935673,98.90202702702703,101.75332221716941,100.79479768786128,102.1917808219178,100.30492697801317,101.54511075094544,100.67056024226693,99.55336834704933,101.63776493256262,104.21157226935718,100.68898697384003,100.47832384545426,100.03928072625699,102.9985405333687,100.0,100.02756187641255,107.75389801938475,98.2573070808365,101.45435560859188,102.42701371790363,101.28212738172968,102.03995498030389,99.75093399750935,99.4148098131893,102.07017907048962,101.27864622856275,100.73698199830856,101.57457355299606,102.57656232342637
2010-01-06,99.77789391168018,112.41869918699187,108.57656039515044,108.53535353535355,99.85862393967956,101.95304623361659,100.01680201624195,100.37294627557705,98.90995589016423,100.74985002999402,97.87595581988104,99.35698791447163,103.51948807446189,99.59349593495935,97.00976403580147,100.50905924511875,97.268563264277,99.24483068624512,100.67616517749333,102.25544528934142,100.58997050147494,102.17745519182343,103.82611080636315,104.08921933085502,102.52511701398205,105.73479840651402,95.8703374777975,100.20560267283476,97.395410610197,107.58096310898337,99.1635889637193,100.15864621893179,100.4308729861371,98.97574407632811,104.6177370030581,100.24556101246695,101.71928727727413,101.22502378686966,96.48153830418327,100.24790236460719,102.2751137556878,101.23456790123456,98.87040523440635,112.30694037145649,101.69872244840658,102.22146607038691,99.06881460098705,104.2819196033292,94.21186631860519,98.42905405405406,103.03673386893031,113.71800165152767,101.64383561643835,101.01107366393838,101.06428957320367,98.43175427211769,101.16206939332535,99.51830443159922,107.9900124843945,99.21412423296373,101.51244652541519,100.63722067039106,104.33859625845827,96.1560203504805,97.76473182294251,109.45006321112517,98.40406016876605,106.16050119331742,101.31902919451285,101.78073247462454,103.68598761958359,99.22166874221669,97.42291244654513,102.19438981471897,105.06526028228865,99.66171318110426,99.53345968800116,103.45801785512488
2010-01-07,102.20799581917952,107.78455284552845,107.29232150875619,106.01010101010102,99.7172478793591,102.81722598300446,98.9974796975637,101.0835601249874,97.17443015172861,100.11997600479906,97.11129991503822,97.32723892159899,104.14000387822377,99.03455284552844,95.1179820992677,101.2927425566831,98.8454427028617,98.83727899310757,97.28326491185702,103.09318211109678,100.36873156342183,101.33313583172864,102.71530444322546,101.61090458488228,105.81939599916525,104.0975353499978,94.52338661930136,102.7242354150604,96.62067438943406,105.12531681216558,97.04540517054095,100.41718079793174,101.08654926938925,96.51215134667439,107.12538226299692,100.0377786173026,100.75648640200062,100.90390104662228,95.6428352255293,98.66514111365372,99.96499824991253,100.32007315957932,96.65133792166908,109.91202346041054,101.19331742243438,103.36865642621036,98.59391004749044,102.29502390649903,93.67366012439976,98.44594594594595,103.14284270628063,108.55697770437655,101.72211350293541,101.90980580966138,99.67585089141005,97.78282500540776,102.8410735701584,101.54142581888244,114.78763790160258,102.27150392937885,105.25819382221177,100.07419692737429,102.74645084251028,95.16676088185416,95.04437462102419,109.82932996207333,95.04096857038034,106.60053699284009,102.53253605346465,99.54096673987453,106.26055149127745,101.76421751764218,96.38757596218773,101.26798468067489,103.50963727424494,98.53811767548629,97.7547747485056,103.52582212679401
2010-01-08,103.99790958975699,109.14634146341464,107.16659182757073,104.74747474747477,99.81149858623942,102.47155408324932,100.63287594511341,102.40399153311158,95.56592226507473,101.94961007798442,97.39450580572075,96.87015804152462,104.55691293387629,99.13617886178862,96.72497965825876,99.9531129642654,106.47350506366348,99.0530416541804,95.81421556789823,101.67547364351077,106.85840707964604,101.05169604503038,106.9391113549095,102.32961586121438,103.14521658766361,104.54843934684584,95.79632918886917,103.30249293240813,98.98177525271159,108.3807378203323,94.78600912448402,100.54644808743171,99.21318846009738,96.04503919883544,105.99388379204892,100.47223271628258,99.34354485776805,101.11798287345385,95.2234836862023,100.36231884057973,99.61498074903749,98.53680841335161,94.32116292707015,109.29618768328444,99.90172680050541,102.73186855920667,99.21780426482913,102.30564901717726,92.3748751168262,99.67905405405405,102.37986963771412,107.29768786127168,101.1545988258317,102.18263521104157,99.82171799027553,97.52325329872379,102.57226748273439,100.0,113.12644908150526,104.42458822262894,107.8822380166403,99.77304469273741,104.48454292158684,95.95816845675523,93.10126233393969,110.3771597134429,95.56071909013086,106.5483293556086,102.3214913823426,102.16062206921112,105.27574563871696,100.22831050228311,95.34098582039164,102.5049166752924,102.23478524814082,97.66823728404012,96.29683627350924,104.13606057181606
2010-01-11,107.21844787039457,111.09756097560977,110.81275258194881,106.86868686868688,100.00000000000003,102.327524125018,100.45925511061327,105.77562745690959,96.39153830165588,104.52909418116377,97.81931464174454,97.48992872637122,105.94337793290673,104.11585365853658,96.48087876322215,101.15208144947923,106.0784972895743,99.02906802517231,95.02938098687916,101.94612707823173,112.24188790560476,101.40719893349136,109.55842018650577,103.34572490706321,102.65032942789853,105.07814210042461,95.18946121965662,104.18915445900797,98.53906884084707,110.55477330329485,95.73104497067129,100.14689464715907,99.85013113525662,97.86671811331125,105.01529051987765,100.5289006422365,98.82463269771803,101.16555661274977,97.473662677713,101.33485888634632,99.7549877493875,98.1710105166895,95.2964414678559,111.70087976539587,100.2035659132388,103.12560762201049,99.16725420031128,102.59606870904905,93.76712108027974,100.47297297297295,102.44555606083574,107.57638315441783,105.22504892367907,102.21473278767454,102.6256077795786,102.57408609128272,100.55828956618834,102.21579961464353,115.7812937909246,105.22122941113146,110.08859096574261,98.95251396648044,104.46464110388749,106.84002261164498,95.0195689322529,110.99873577749683,95.6035220741103,106.51849642004773,102.33907843826944,101.51560119506934,104.43162633652226,98.96222498962224,94.36191762322755,102.634302867198,103.2250720898467,100.02416334420685,95.33459688001166,103.54842355068371
2010-01-12,104.42252417036843,103.78048780487808,112.4741805118994,104.49494949494951,97.4552309142319,101.24729943828316,103.08036964435733,105.76554782783994,98.36377912750288,100.5998800239952,95.46870574907958,96.08769755190576,104.80899747915454,101.21951219512196,96.419853539463,99.09240095113702,104.2316258351893,99.87413844770752,99.40030588424693,99.98711174120376,104.20353982300888,100.62213005480672,105.30718595721339,100.52044609665428,101.86327996899504,105.89677362868272,91.07460035523981,103.03263942431253,98.50217663985835,109.92114897212053,99.12013903975668,99.38304248193197,100.37467216185834,96.01873125559047,102.66055045871558,99.03664525878351,95.79868708971553,98.58468125594672,95.17234325457706,101.04881769641497,97.96989849492476,97.98811156835846,99.01854881022189,110.2639296187683,99.41738031728204,100.01944390433597,99.28165697790429,105.51797414556401,92.88085339521093,98.94144144144143,100.29306250315801,105.49132947976878,105.83170254403132,100.75429305087467,100.05942733657481,102.44430023794072,100.82296017534428,100.38535645472061,111.30729445336185,105.63031542684898,107.13780442617984,96.15921787709496,104.27225686612711,109.10118711136236,99.78777355162337,108.45975558364938,95.13880396233337,107.17482100238662,98.71614491734084,102.20415108525748,104.16432189082727,98.36031548360316,91.94238127391404,101.91491564020288,103.18333586280163,97.75280898876406,100.0,102.03412815007349
2010-01-13,107.04206950614056,102.62195121951223,116.72204759766501,102.92929292929296,101.97926484448638,102.39953910413365,103.89246709605153,104.85838121157141,98.58894713747955,95.29094181163768,94.44916454262248,95.45243259993799,104.3145239480318,103.30284552845528,96.76566314076487,97.9101778358284,103.3365550279447,99.50854060533415,97.15849633743859,99.00760407268977,106.78466076696168,101.27388535031851,106.37685134393858,100.43370508054522,103.81599737650184,107.53841439390621,89.94967436352874,102.51863274222566,98.53906884084705,111.29822585187273,101.84662176841191,99.03637111463661,99.36305732484074,94.90970529257359,104.6788990825688,99.16887041934264,95.56111284776492,98.14462416745955,96.53267873580852,102.87948131197562,96.04480224011202,97.94238683127571,102.71596555661861,111.59335288367544,98.52590200758107,98.79933890725256,98.92514599656789,102.10023021073134,92.09126945760418,98.94144144144143,100.66191703299481,104.94426094137076,106.2426614481409,102.26287915262397,99.3787142085359,103.70971230802509,101.21583061081014,101.05973025048169,112.43598563020711,106.54537625148025,109.12183784147945,94.96770251396647,102.68011145017911,110.28829847371397,104.90877018907445,109.88200589970499,94.97370673841262,107.22702863961813,100.87935279634189,106.26619971903997,103.36240855374228,99.0348692403487,92.67386900742741,106.86264361867303,100.58810138108969,97.6561556119367,103.14914710599213,101.35608543338232
2010-01-14,111.56911418865951,106.849593495935,114.80916030534351,102.42424242424245,101.22525918944397,102.65015123145614,105.20302436292357,107.45892551154117,98.68132375695717,97.84043191361727,94.64740866610026,96.6532383018283,105.52646887725422,106.25000000000001,96.15541090317335,97.80300746843497,102.79762154893476,100.7072220557387,97.97552926024306,98.5565150148215,111.79941002949856,100.96282032291516,105.1289083927592,100.64436183395291,103.40458515934773,108.31326883509168,89.99407933688576,103.5980467746081,99.18837157824836,111.71782596451703,99.72843797523355,98.71907867677304,98.31397527163729,94.64954896492863,104.49541284403668,96.7321496033245,94.94842138168177,97.83539486203617,98.9260509358699,103.56598016781086,96.32481624081207,98.83401920438955,102.95361254282274,115.55229716520036,97.61336515513125,100.1847170911919,98.64046931744107,103.6975385160262,91.19533339778917,99.63400900900899,103.72896771259666,106.80222956234516,110.64579256360078,104.39736799871609,99.72987574284168,110.19900497512438,104.29676192051609,104.23892100192678,115.08573466839917,106.95446226719775,112.60821234883959,94.16026536312849,103.45628234045375,109.46862634256641,103.75117137974752,109.48166877370416,94.63739757857405,104.82547732696897,102.19838199085474,105.71417265190635,106.72481710748454,100.66417600664175,93.21404456448347,108.06334747955698,100.45151009257852,101.24441222665217,106.82315206298294,101.81941462312128
2010-01-15,111.87614319310163,106.82926829268297,116.57835653345307,102.57575757575759,106.73892554194163,100.34567189975515,104.65975917110055,108.63824211269024,99.70324010992823,98.80023995200958,95.58198810535261,95.85528354508828,104.52782625557495,106.25000000000001,94.85353946297806,97.60206302957234,104.06668907845528,101.51033862750974,96.55880222168555,96.55883490140484,108.03834808259592,103.74759294919274,105.95172792100934,99.65303593556382,102.7039918910056,107.68725648995313,93.01361752516286,102.51863274222566,98.57596104183575,111.92340185863138,99.54377579839236,99.32428462306837,96.27201198950915,94.8863204541336,101.89602446483178,96.8643747638836,95.76117536730226,99.6431969552807,100.66482561112817,103.08924485125861,99.22996149807494,96.159122085048,102.41967840498751,115.32746823069401,95.28288642425943,99.87847559790005,97.62414696766125,102.41898353107844,91.10509523349126,100.17454954954952,101.8796422616341,107.43187448389759,110.0587084148728,105.5528807575028,98.16315505132359,108.63075924724205,103.27529878830485,106.16570327552986,113.14937960202805,108.19248573581656,112.02883416983866,93.54923184357541,101.17420724426164,108.47936687394008,105.28912408356759,109.41845764854612,96.45958175369941,104.83293556085917,101.79387970453747,111.15925684098056,106.61226786719192,104.98132004981319,93.77672743641685,107.33360935720941,96.57004097738654,99.40799806693246,106.06502405598484,102.27144310091538
